medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid
5687251000006114,8,^ESCTUN568725, ,Unable to balance when bending,284411006,423065015
5687311000006116,5,^ESCTUN568731, ,Unable to balance when reaching,284416001,423071014
6474321000006110,500,^ESCTIM647432, ,Impairment of balance,387603000,1481690011
6474331000006113,2,^ESCTPR647433, ,Problem with balance,387603000,1492162010
6474341000006115,2,^ESCTBA647434, ,Balance impairment,387603000,1492163017
7070881000006116,200,^ESCTAS707088, ,Assessment of sense of balance,427226009,2674390019
7139721000006113,6,^ESCTAB713972, ,Abnormal gait due to impairment of balance,431524008,2770609010
37486015,3000,ESCTAB1, ,Abnormal gait,22325002,1930191000006118
254950010,900,2993-1,2993.11,O/E - ataxic gait,163686004,254950010
254951014,2000,2993,2993.00,O/E - gait ataxic,163686004,254951014
254956016,2000,2995,2995.00,O/E - waddling gait,163688003,254956016
254957013,800,2996,2996.00,O/E - steppage gait,163689006,254957013
254958015,200,2997,2997.00,O/E - hysterical gait,163690002,254958015
254959011,100000,2998,2998.00,O/E - limping gait,163691003,254959011
283116015,20,8D442,8D44200,Reciprocating gait orthosis,183148001,283116015
317119019,100000,R012,R012.00,Gait abnormality,22325002,37483011
317120013,5000,R0120,R012000,Ataxic gait,25136009,42133016
317121012,100,R0121,R012100,[D]Paralytic gait,9447003,16553018
317123010,4000,R0123,R012300,Staggering gait,78691002,130577013
317125015,30000,R012z,R012z00,[D]Gait abnormality NOS,22325002,37483011
318013019,10000,Ryu32,Ryu3200,Abnormal gait,22325002,37486015
402512016,2000,2994,2994.00,O/E-festination-Parkinson gait,268964003,402512016
402514015,3000,2994-1,2994.11,O/E - Parkinson gait,268964003,402514015
1780406017,500,3989,3989.00,Tandem gait test - abnormal,401211005,1780406017
855501000006118,10000,EGTONCH11, ,Child gait abnormal,855501000006102,855501000006118
931931000006114,70,R012-99,R012.99,Unsteady gait [D],496121000000100,931931000006114
960101000006119,300,EMISCGA1, ,Gait/ambulation disturbance,960101000006103,960101000006119
961101000006112,20,EMISCGA2, ,Gait training,961101000006108,961101000006112
1832041000006117,1,JHCPH42, ,Physiotherapy treatment modality: gait re-education,1832041000006101,1832041000006117
1916131000006112,1,EMISNQCH554, ,CHSP-PS recall: gait abnormal,1916131000006108,1916131000006112
1916141000006119,1,EMISNQCH555, ,CHSP-PS recall: gait uncertain,1916141000006103,1916141000006119
1919151000006111,1,EMISNQCH647, ,CHSP-PS unsched. contact: gait abnormal,1919151000006107,1919151000006111
1919161000006113,1,EMISNQCH648, ,CHSP-PS unsched. contact: gait uncertain,1919161000006109,1919161000006113
2851781000006118,1,^ESCTSC285178, ,Scissoring gait,22090007,481220015
2855721000006115,4,^ESCTGA285572, ,Gait problem,22325002,481313013
2901631000006114,1,^ESCTBR290163, ,Broadened gait,25136009,42135011
2936611000006117,30,^ESCTFO293661, ,Foot-drop gait,27253007,483478019
2936661000006119,2,^ESCTEQ293666, ,Equinus gait,27253007,483481012
2995971000006117,10,^ESCTGA299597, ,Gait apraxia,30767006,484698013
3006931000006110,1,^ESCTFL300693, ,Flat-footed gait,31464009,52601016
3146601000006114,4,^ESCTTR314660, ,Trendelenburg gait,40192003,63823013
3193361000006116,60,^ESCTSH319336, ,Shuffling gait,43005009,71747015
3355321000006110,2,^ESCTHE335532, ,Hemiplegic gait,52751000,87771014
3717881000006119,100,^ESCTGA371788, ,Gait training procedure,74914000,124424018
4996601000006118,3,^ESCTFU499660, ,Full weight-bearing gait training,229598006,2575793013
4996621000006111,2,^ESCTPA499662, ,Partial weight-bearing gait training,229599003,2575794019
4996681000006110,6,^ESCTWE499668, ,Weight-bearing gait training,229602008,2575797014
4996701000006113,3,^ESCTTO499670, ,Touch weight-bearing gait training,229603003,2575798016
4996811000006119,2,^ESCTGA499681, ,Gait training on stairs,229608007,2575803013
5279451000006112,1,^ESCTLO527945, ,Low level sensorimotor gait disorder,250003005,372910011
5279651000006114,5,^ESCTST527965, ,Stiff legged gait,250013002,372924010
5279661000006111,2,^ESCTST527966, ,Stiff knee gait,250014008,372925011
5279671000006116,4,^ESCTAR527967, ,Arthritic gait,250015009,372926012
5279711000006117,200,^ESCTIN527971, ,In-toeing gait,250019003,372930010
5279731000006111,1,^ESCTBO527973, ,Bouncy gait,250021008,372932019
5279741000006118,1,^ESCTLU527974, ,Lurching gait,250023006,372934018
5279791000006110,1,^ESCTSP527979, ,Spinning gait,250028002,372941012
5279851000006110,1,^ESCTPA527985, ,Paraplegic gait,250035005,372949014
5279871000006117,1,^ESCTPA527987, ,Parkinsonian gait,250036006,372951013
5279971000006111,6,^ESCTCA527997, ,Cautious gait,250044006,372964014
5528091000006114,2,^ESCTWA552809, ,Waddling gait,271706000,406589019
6280821000006116,1,^ESCTCE628082, ,Cerebellar ataxic gait,365884000,489380018
6545931000006115,2000,^ESCTUN654593, ,Unsteady gait,394616008,1488341011
6545941000006113,1,^ESCTIN654594, ,Instability of gait,394616008,1494591016
6599841000006110,3,^ESCTAC659984, ,Accelerating gait,398218008,1777770016
7083741000006117,1,^ESCTMU708374, ,Multifactorial gait problem,428116008,2691986016
8021761000006115,3,^ESCTFU802176, ,Functional gait abnormality,69161000119103,2958529015
8265371000006112,1,^ESCTHI826537, ,Hip hitching gait,817531000000100,2129761000000110
8268721000006116,4,^ESCTTR826872, ,Trunk lateral leaning gait,821101000000100,2138281000000118
8268731000006118,5,^ESCTFO826873, ,Forward trunk flexion gait,821111000000103,2138301000000117
8268761000006110,2,^ESCTHI826876, ,Hip circumduction gait,821131000000106,2138341000000119
254939012,200,2982,2982.00,O/E - hemiplegic posture,163676000,254939012
254940014,60,2983,2983.00,O/E - paraplegic in flexion,163677009,254940014
254941013,10,2984,2984.00,O/E - paraplegic in extension,163678004,254941013
5528021000006112,2,^ESCTHE552802, ,Hemiplegic posture,271701005,406583018
6349391000006117,1,^ESCTTE634939, ,Tetraplegic spinal paralysis,371120001,2967529015
33622011,70,F123,F123.00,Postencephalitic parkinsonism,19972008,33622011
64875013,10,A94y1,A94y100,Syphilitic parkinsonism,38523005,64875013
81717011,1000000,F12,F12..00,Parkinson's disease,49049000,81717011
295688010,30000,Eu023,Eu02300,Dementia in Parkinsons disease,425390006,2921040013
297037012,70000,F12z,F12z.00,Parkinson's disease NOS,49049000,81717011
297043014,800,F1303,F130300,Orthostatic hypotension co-occurrent and due to Parkinson's disease,718685006,3313002011
345121017,10000,F124,F124.00,Vascular parkinsonism,230296006,345121017
2841061014,300,F1741, ,"Multiple system atrophy, Parkinson variant",444197004,2841061014
636681000000117,200,F11x9,F11x900,Cerebral degeneration in Parkinson's disease,341551000000108,636681000000117
905821000006112,2000,HNG0054, ,[RFC] Parkinson's disease,905821000006108,905821000006112
909021000006117,5000,HNG0633, ,[RFC] Parkinson's disease,909021000006101,909021000006117
1148731000000112,3000,147F,147F.00,History of Parkinson's disease,515841000000104,1148731000000112
3293631000006118,300,^ESCTID329363, ,Idiopathic Parkinson's disease,49049000,1230677014
3293641000006111,80,^ESCTPA329364, ,Parkinson disease,49049000,1230678016
3293661000006110,100,^ESCTPA329366, ,Parkinsons disease,49049000,2920648011
3511181000006115,2,^ESCTPA351118, ,Parkinson-dementia complex of Guam,62239001,103435012
7043651000006119,100,^ESCTDE704365, ,Dementia associated with Parkinson's Disease,425390006,2645368017
7043661000006117,2,^ESCTDE704366, ,Dementia associated with Parkinson Disease,425390006,2842012010
7289421000006111,4,^ESCTMU728942, ,"Multiple system atrophy, Parkinson's variant",444197004,2841062019
7560531000006110,1,^ESCTFR756053, ,Frontotemporal dementia with parkinsonism-17,702429008,2995187016
7730811000006111,2,^ESCTEA773081, ,Early onset Parkinson disease,715345007,3302310019
7790241000006117,3,^ESCTPS779024, ,Psychosis co-occurrent and due to Parkinson's disease,719717006,3317570011
8031751000006119,20,^ESCTDE803175, ,Dementia due to Parkinson's disease,101421000119107,2968235019
8031761000006117,1,^ESCTDE803176, ,Dementia due to Parkinsons disease,101421000119107,2987130014
